Verb,VerbNet Class,Semantic Domain,Situation,WN_Count,WN_Status,WN_Synset_01,WN_Gloss_01,WN_Synset_02,WN_Gloss_02,WN_Synset_03,WN_Gloss_03,WN_Synset_04,WN_Gloss_04,WN_Synset_05,WN_Gloss_05,WN_Synset_06,WN_Gloss_06,WN_Synset_07,WN_Gloss_07,WN_Synset_08,WN_Gloss_08,WN_Synset_09,WN_Gloss_09,WN_Synset_10,WN_Gloss_10
abandon,leave-51.2,Motion,Basic Motion,2,Match,abandon.v.01,"forsake, leave behind",vacate.v.02,leave behind empty; move out of,,,,,,,,,,,,,,,,
abash,amuse-31.1,Affect,Affect,1,Match,embarrass.v.01,cause to be embarrassed; cause to feel self-conscious,,,,,,,,,,,,,,,,,,
abate,other_cos-45.4,Transformation,Basic Change of State,2,Match,abate.v.02,become less in amount or intensity,slake.v.02,make less active or intense,,,,,,,,,,,,,,,,
abduct,steal-10.5,Possession,Transfer of Possession,1,Match,kidnap.v.01,take away to an undisclosed location against their will and usually in order to extract a ransom,,,,,,,,,,,,,,,,,,
abhor,admire-31.2,Attend,Attend,1,Match,abhor.v.01,find repugnant,,,,,,,,,,,,,,,,,,
abnegate,contribute-13.2,Possession,Dynamic Possession,1,Match,abnegate.v.02,surrender (power or a position),,,,,,,,,,,,,,,,,,
abolish,remove-10.1,Incremental,Causative Incremental,1,Match,abolish.v.01,do away with,,,,,,,,,,,,,,,,,,
abound,swarm-47.5.1,Existence,Existence,2,Match,abound.v.01,be abundant or plentiful; exist in large quantities,abound.v.02,be in a state of movement or action,,,,,,,,,,,,,,,,
absorb,absorb-39.8,Transformation,Absorb,2,Match,absorb.v.04,"take in, also metaphorically",absorb.v.06,suck or take up or in,,,,,,,,,,,,,,,,
abstract,remove-10.1,Incremental,Causative Incremental,1,Match,pilfer.v.01,make off with belongings of others,,,,,,,,,,,,,,,,,,
abuse,judgment-33.1,Affiliation,Attack,3,Match,abuse.v.03,use foul or abusive language towards,pervert.v.03,change the inherent purpose or function of something,mistreat.v.01,treat badly,,,,,,,,,,,,,,
abuse,judgment-33.1,Cognition,Judge,3,Match,abuse.v.03,use foul or abusive language towards,pervert.v.03,change the inherent purpose or function of something,mistreat.v.01,treat badly,,,,,,,,,,,,,,
abut,contiguous_location-47.8,Location,Location,1,Match,border.v.05,lie adjacent to another or share a boundary,,,,,,,,,,,,,,,,,,
accelerate,other_cos-45.4,Transformation,Basic Change of State,2,Match,accelerate.v.01,move faster,accelerate.v.02,cause to move faster,,,,,,,,,,,,,,,,
accept,characterize-29.2,Communication,Statement,3,Match,accept.v.01,consider or hold as true,accept.v.07,tolerate or accommodate oneself to,accept.v.04,react favorably to; consider right and proper,,,,,,,,,,,,,,
accept,obtain-13.5.2,Possession,Dynamic Possession,1,Match,accept.v.02,receive willingly something given or offered,,,,,,,,,,,,,,,,,,
acclaim,judgment-33.1,Affiliation,Attack,1,Match,acclaim.v.01,praise vociferously,,,,,,,,,,,,,,,,,,
acclaim,judgment-33.1,Cognition,Judge,1,Match,acclaim.v.01,praise vociferously,,,,,,,,,,,,,,,,,,
accord,future_having-13.3,Possession,Future Having,1,Match,accord.v.02,allow to have,,,,,,,,,,,,,,,,,,
accrue,obtain-13.5.2,Possession,Dynamic Possession,2,Match,accrue.v.02,come into the possession of,accrue.v.01,grow by addition,,,,,,,,,,,,,,,,
accumulate,herd-47.5.2,Incremental,Basic Incremental,2,Match,accumulate.v.02,collect or gather,roll_up.v.02,get or gather together,,,,,,,,,,,,,,,,
acetify,other_cos-45.4,Transformation,Basic Change of State,2,Match,acidify.v.02,turn acidic,sour.v.02,make sour or more sour,,,,,,,,,,,,,,,,
ache,long-32.2,Volition,Intend,1,Match,ache.v.02,have a desire for something or someone who is not present,,,,,,,,,,,,,,,,,,
ache,tingle-40.8.2,Existence,Existence,1,Match,ache.v.03,be the source of pain,,,,,,,,,,,,,,,,,,
acidify,other_cos-45.4,Transformation,Basic Change of State,2,Match,sour.v.02,make sour or more sour,acidify.v.02,turn acidic,,,,,,,,,,,,,,,,
acknowledge,confess-37.10,Communication,Statement,1,Match,admit.v.01,declare to be true or admit the existence or reality or truth of,,,,,,,,,,,,,,,,,,
acquire,obtain-13.5.2,Possession,Dynamic Possession,1,Match,get.v.01,come into the possession of something concrete or abstract,,,,,,,,,,,,,,,,,,
act,masquerade-29.6,Affiliation,Role,2,Match,act.v.04,discharge one's duties,act.v.02,behave in a certain manner; show a certain behavior; conduct or comport oneself,,,,,,,,,,,,,,,,
actuate,engender-27.1,Causation,Cause and Effect,1,Match,trip.v.04,put in motion or move to act,,,,,,,,,,,,,,,,,,
add,mix-22.1,Incremental,Basic Incremental,1,Match,add.v.01,"make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of",,,,,,,,,,,,,,,,,,
add,multiply-108,Quantification,Counting,2,Match,add.v.04,make an addition by combining numbers,total.v.02,determine the sum of,,,,,,,,,,,,,,,,
address,illustrate-25.3,Incremental,Basic Incremental,1,Match,address.v.03,put an address on (an envelope),,,,,,,,,,,,,,,,,,
adhere,cling-22.5,Incremental,Basic Incremental,1,Match,cling.v.01,come or be in close contact with; stick or hold together and resist separation,,,,,,,,,,,,,,,,,,
adjoin,contiguous_location-47.8,Location,Location,2,Match,touch.v.05,be in direct physical contact with; make contact,border.v.05,lie adjacent to another or share a boundary,,,,,,,,,,,,,,,,
adjudge,declare-29.4,Communication,Statement,1,Match,declare.v.04,declare to be,,,,,,,,,,,,,,,,,,
administer,contribute-13.2,Possession,Dynamic Possession,3,Match,administer.v.02,perform (a church sacrament) ritually,distribute.v.01,"administer or bestow, as in small portions",administer.v.04,give or apply (medications),,,,,,,,,,,,,,
admire,admire-31.2,Attend,Attend,1,Match,admire.v.01,feel admiration for,,,,,,,,,,,,,,,,,,
admit,confess-37.10,Communication,Statement,1,Match,admit.v.01,declare to be true or admit the existence or reality or truth of,,,,,,,,,,,,,,,,,,
admit,conjecture-29.5,Cognition,Judge,1,Match,admit.v.01,declare to be true or admit the existence or reality or truth of,,,,,,,,,,,,,,,,,,
admix,mix-22.1,Incremental,Basic Incremental,1,Match,admix.v.01,mix or blend,,,,,,,,,,,,,,,,,,
admonish,advise-37.9,Communication,Communicate,3,Match,admonish.v.03,take to task,caution.v.01,warn strongly; put on guard,warn.v.02,admonish or counsel in terms of someone's behavior,,,,,,,,,,,,,,
admonish,urge-58.1,Communication,Request,2,Match,caution.v.01,warn strongly; put on guard,warn.v.02,admonish or counsel in terms of someone's behavior,,,,,,,,,,,,,,,,
adopt,appoint-29.1,Affiliation,Cause Role,4,Match,espouse.v.03,"take up the cause, ideology, practice, method, of someone and use it as one's own",adopt.v.01,"choose and follow; as of theories, ideas, policies, strategies or plans",assume.v.02,"take on titles, offices, duties, responsibilities",adopt.v.02,take up and practice as one's own,,,,,,,,,,,,
adopt,characterize-29.2,Communication,Statement,4,Match,espouse.v.03,"take up the cause, ideology, practice, method, of someone and use it as one's own",adopt.v.01,"choose and follow; as of theories, ideas, policies, strategies or plans",assume.v.02,"take on titles, offices, duties, responsibilities",adopt.v.02,take up and practice as one's own,,,,,,,,,,,,
adore,admire-31.2,Attend,Attend,1,Match,adore.v.01,love intensely,,,,,,,,,,,,,,,,,,
adorn,illustrate-25.3,Incremental,Basic Incremental,1,Match,decorate.v.01,"make more attractive by adding ornament, colour, etc.",,,,,,,,,,,,,,,,,,
advance,escape-51.1,Motion,Basic Motion,1,Match,advance.v.01,"move forward, also in the metaphorical sense",,,,,,,,,,,,,,,,,,
advance,future_having-13.3,Possession,Future Having,1,Match,advance.v.10,pay in advance,,,,,,,,,,,,,,,,,,
advertise,indicate-78,Association,Require and Satisfy,1,Match,advertise.v.01,call attention to,,,,,,,,,,,,,,,,,,
advise,advise-37.9,Communication,Communicate,2,Match,advise.v.02,inform (somebody) of something,rede.v.02,give advice to,,,,,,,,,,,,,,,,
advise,say-37.7,Communication,Statement,1,Match,advise.v.02,inform (somebody) of something,,,,,,,,,,,,,,,,,,
affect,amuse-31.1,Affect,Affect,1,Match,affect.v.05,have an emotional or cognitive impact upon,,,,,,,,,,,,,,,,,,
affirm,conjecture-29.5,Cognition,Judge,1,Match,affirm.v.02,to declare or affirm solemnly and formally as true,,,,,,,,,,,,,,,,,,
affix,tape-22.4,Incremental,Basic Incremental,3,Match,affix.v.01,attach to,append.v.01,add to the very end,affix.v.03,attach or become attached to a stem word,,,,,,,,,,,,,,
afflict,amuse-31.1,Affect,Affect,1,Match,afflict.v.01,cause great unhappiness for; distress,,,,,,,,,,,,,,,,,,
affront,amuse-31.1,Affect,Affect,1,Match,diss.v.01,"treat, mention, or speak to rudely",,,,,,,,,,,,,,,,,,
age,other_cos-45.4,Transformation,Basic Change of State,3,Match,age.v.03,make older,age.v.01,begin to seem older; get older,senesce.v.01,grow old or older,,,,,,,,,,,,,,
agglomerate,other_cos-45.4,Transformation,Basic Change of State,1,Match,agglomerate.v.01,form into one cluster,,,,,,,,,,,,,,,,,,
aggravate,amuse-31.1,Affect,Affect,1,Match,exacerbate.v.02,exasperate or irritate,,,,,,,,,,,,,,,,,,
aggregate,herd-47.5.2,Incremental,Basic Incremental,1,Match,aggregate.v.02,"gather in a mass, sum, or whole",,,,,,,,,,,,,,,,,,
agitate,amuse-31.1,Affect,Affect,1,Match,agitate.v.02,"cause to be agitated, excited, or roused",,,,,,,,,,,,,,,,,,
agonize,amuse-31.1,Affect,Affect,2,Match,agonize.v.01,cause to agonize,agonize.v.02,suffer agony or anguish,,,,,,,,,,,,,,,,
agree,correspond-36.1,Communication,Joint Statement,3,Match,match.v.01,"be compatible, similar or consistent; coincide in their characteristics",agree.v.01,be in accord; be in agreement,agree.v.02,"consent or assent to a condition, or agree to do something",,,,,,,,,,,,,,
aim,wish-62,Volition,Search,1,Match,aim.v.02,propose or intend,,,,,,,,,,,,,,,,,,
air,other_cos-45.4,Transformation,Basic Change of State,3,Match,vent.v.02,expose to cool or cold air so as to cool or freshen,air.v.05,"expose to warm or heated air, so as to dry",air_out.v.01,expose to fresh air,,,,,,,,,,,,,,
airmail,send-11.1,Motion,Send,1,Match,airmail.v.01,send or transport by airmail,,,,,,,,,,,,,,,,,,
alarm,amuse-31.1,Affect,Affect,1,Match,dismay.v.02,fill with apprehension or alarm; cause to be unpleasantly surprised,,,,,,,,,,,,,,,,,,
alcoholize,remedy-45.7,Transformation,Causative Change of State,2,Match,alcoholize.v.03,"make alcoholic, as by fermenting",alcoholize.v.02,treat or infuse with alcohol,,,,,,,,,,,,,,,,
alert,advise-37.9,Communication,Communicate,1,Match,alarm.v.02,warn or arouse to a sense of danger or call to a state of preparedness,,,,,,,,,,,,,,,,,,
alienate,amuse-31.1,Affect,Affect,1,Match,estrange.v.02,"arouse hostility or indifference in where there had formerly been love, affection, or friendliness",,,,,,,,,,,,,,,,,,
alkalify,other_cos-45.4,Transformation,Basic Change of State,1,Match,alkalize.v.01,turn basic and less acidic,,,,,,,,,,,,,,,,,,
allocate,future_having-13.3,Possession,Future Having,1,Match,allocate.v.01,distribute according to a plan or set apart for a special purpose,,,,,,,,,,,,,,,,,,
allot,future_having-13.3,Possession,Future Having,3,Match,assign.v.02,give out,accord.v.02,allow to have,distribute.v.01,"administer or bestow, as in small portions",,,,,,,,,,,,,,
allure,lure-59.3,Affiliation,Inducive,1,Match,tempt.v.01,dispose or incline or entice to,,,,,,,,,,,,,,,,,,
alter,other_cos-45.4,Transformation,Basic Change of State,3,Match,change.v.01,cause to change; make different; cause a transformation,alter.v.03,make an alteration to,change.v.03,"become different in some particular way, without permanently losing one's or its former characteristics or essence",,,,,,,,,,,,,,
alter,turn-26.6.1,Transformation,Basic Change of State,1,Match,change.v.01,cause to change; make different; cause a transformation,,,,,,,,,,,,,,,,,,
amass,herd-47.5.2,Incremental,Basic Incremental,2,Match,roll_up.v.02,get or gather together,accumulate.v.02,collect or gather,,,,,,,,,,,,,,,,
amaze,amuse-31.1,Affect,Affect,2,Match,perplex.v.01,be a mystery or bewildering to,amaze.v.01,affect with wonder,,,,,,,,,,,,,,,,
amble,run-51.3.2,Motion,Basic Motion,1,Match,amble.v.01,walk leisurely,,,,,,,,,,,,,,,,,,
ambulate,run-51.3.2,Motion,Basic Motion,1,Match,ambulate.v.01,walk about; not be bedridden or incapable of walking,,,,,,,,,,,,,,,,,,
ambush,attack-60.1,Affiliation,Attack,1,Match,ambush.v.01,wait in hiding to attack,,,,,,,,,,,,,,,,,,
ameliorate,other_cos-45.4,Transformation,Basic Change of State,2,Match,better.v.02,to make better,better.v.03,get better,,,,,,,,,,,,,,,,
amerce,bill-54.5,Possession,Transfer of Possession,1,Match,amerce.v.02,punish by a fine imposed arbitrarily by the discretion of the court,,,,,,,,,,,,,,,,,,
amerce,bill-54.5,Possession,Pay and Charge,1,Match,amerce.v.02,punish by a fine imposed arbitrarily by the discretion of the court,,,,,,,,,,,,,,,,,,
americanize,other_cos-45.4,Transformation,Basic Change of State,2,Match,americanize.v.02,become American in character,americanize.v.01,make American in character,,,,,,,,,,,,,,,,
amplify,overstate-37.12,Communication,Statement,1,Match,overstate.v.01,to enlarge beyond bounds or the truth,,,,,,,,,,,,,,,,,,
amuse,amuse-31.1,Affect,Affect,2,Match,amuse.v.01,"occupy in an agreeable, entertaining or pleasant fashion",amuse.v.02,make (somebody) laugh,,,,,,,,,,,,,,,,
analyse,assessment-34.1,Cognition,Judge,4,Match,analyze.v.03,break down into components or essential features,analyze.v.02,"make a mathematical, chemical, or grammatical analysis of; break down into components or essential features",analyze.v.04,subject to psychoanalytic treatment,analyze.v.01,consider in detail and subject to an analysis in order to discover essential features or meaning,,,,,,,,,,,,
analyze,assessment-34.1,Cognition,Judge,1,Match,analyze.v.01,consider in detail and subject to an analysis in order to discover essential features or meaning,,,,,,,,,,,,,,,,,,
anchor,tape-22.4,Incremental,Basic Incremental,1,Match,anchor.v.01,fix firmly and stably,,,,,,,,,,,,,,,,,,
anger,amuse-31.1,Affect,Affect,2,Match,anger.v.02,become angry,anger.v.01,make angry,,,,,,,,,,,,,,,,
anger,marvel-31.3,Affect,Affect,1,Match,anger.v.02,become angry,,,,,,,,,,,,,,,,,,
anguish,marvel-31.3,Affect,Affect,1,Match,anguish.v.01,suffer great pains or distress,,,,,,,,,,,,,,,,,,
annex,steal-10.5,Possession,Transfer of Possession,1,Match,annex.v.01,take (territory) as if by conquest,,,,,,,,,,,,,,,,,,
annihilate,destroy-44,Transformation,Causative Change of State,1,Match,eliminate.v.03,kill in large numbers,,,,,,,,,,,,,,,,,,
announce,order-58.3,Communication,Request,1,Match,announce.v.02,announce publicly or officially,,,,,,,,,,,,,,,,,,
announce,say-37.7,Communication,Statement,2,Match,announce.v.03,give the names of,announce.v.01,make known; make an announcement,,,,,,,,,,,,,,,,
annoy,amuse-31.1,Affect,Affect,1,Match,annoy.v.01,"cause annoyance in; disturb, especially by minor irritations",,,,,,,,,,,,,,,,,,
annoy,bully-59.5,Affiliation,Attack,1,Match,annoy.v.01,"cause annoyance in; disturb, especially by minor irritations",,,,,,,,,,,,,,,,,,
anoint,dub-29.3.2,Communication,Statement,1,Match,anoint.v.02,administer an oil or ointment to ; often in a religious ceremony of blessing,,,,,,,,,,,,,,,,,,
answer,reciprocate-112,Communication,Response,6,Match,answer.v.04,understand the meaning of,answer.v.10,react to a stimulus or command,answer.v.05,give a defence or refutation of (a charge) or in (an argument),answer.v.01,react verbally,answer.v.03,give the correct answer or solution to,answer.v.02,respond to a signal,,,,,,,,
antagonize,amuse-31.1,Affect,Affect,1,Match,antagonize.v.02,act in opposition to,,,,,,,,,,,,,,,,,,
anticipate,conjecture-29.5,Cognition,Judge,1,Match,expect.v.01,regard something as probable or likely,,,,,,,,,,,,,,,,,,
anticipate,indicate-78,Association,Require and Satisfy,1,Match,predict.v.01,make a prediction about; tell in advance,,,,,,,,,,,,,,,,,,
appall,amuse-31.1,Affect,Affect,2,Match,shock.v.02,strike with disgust or revulsion,dismay.v.02,fill with apprehension or alarm; cause to be unpleasantly surprised,,,,,,,,,,,,,,,,
appeal,appeal-31.4,Desire,Desire,1,Match,attract.v.02,be attractive to,,,,,,,,,,,,,,,,,,
appear,appear-48.1.1,Location,Location,2,Match,appear.v.02,come into sight or view,appear.v.03,be issued or published,,,,,,,,,,,,,,,,
appease,amuse-31.1,Affect,Affect,1,Match,pacify.v.01,cause to be more favorably inclined; gain the good will of,,,,,,,,,,,,,,,,,,
applaud,judgment-33.1,Affiliation,Attack,1,Match,applaud.v.02,express approval of,,,,,,,,,,,,,,,,,,
applaud,judgment-33.1,Cognition,Judge,1,Match,applaud.v.02,express approval of,,,,,,,,,,,,,,,,,,
applique,image_impression-25.1,Creation,Image Creation,1,Match,applique.v.01,sew on as a decoration,,,,,,,,,,,,,,,,,,
apply,put-9.1,Incremental,Causative Incremental,1,Match,put_on.v.07,apply to a surface,,,,,,,,,,,,,,,,,,
apply,use-105.1,Force,Manipulate,1,Match,use.v.01,put into service; make work or employ for a particular purpose or for its inherent or natural purpose,,,,,,,,,,,,,,,,,,
appoint,appoint-29.1,Affiliation,Cause Role,2,Match,appoint.v.01,create and charge with a task or function,appoint.v.02,"assign a duty, responsibility or obligation to",,,,,,,,,,,,,,,,
apportion,future_having-13.3,Possession,Future Having,2,Match,share.v.04,give out as one's portion or share,allocate.v.01,distribute according to a plan or set apart for a special purpose,,,,,,,,,,,,,,,,
appraise,assessment-34.1,Cognition,Judge,1,Match,measure.v.04,"evaluate or estimate the nature, quality, ability, extent, or significance of",,,,,,,,,,,,,,,,,,
appraise,price-54.4,Quantification,Measurement,1,Match,measure.v.04,"evaluate or estimate the nature, quality, ability, extent, or significance of",,,,,,,,,,,,,,,,,,
appreciate,admire-31.2,Attend,Attend,2,Match,prize.v.01,hold dear,appreciate.v.01,recognize with gratitude; be grateful for,,,,,,,,,,,,,,,,
appreciate,comprehend-87.2,Cognition,Judge,1,Match,appreciate.v.02,be fully aware of; realize fully,,,,,,,,,,,,,,,,,,
apprehend,comprehend-87.2,Cognition,Judge,1,Match,grok.v.01,get the meaning of something,,,,,,,,,,,,,,,,,,
approach,confront-98,Communication,Response,1,Match,set_about.v.01,begin to deal with,,,,,,,,,,,,,,,,,,
approach,escape-51.1,Motion,Basic Motion,1,Match,approach.v.01,move towards,,,,,,,,,,,,,,,,,,
appropriate,obtain-13.5.2,Possession,Dynamic Possession,1,Match,appropriate.v.02,"take possession of by force, as after an invasion",,,,,,,,,,,,,,,,,,
approve,marvel-31.3,Affect,Affect,2,Match,approve.v.02,judge to be right or commendable; think well of,approve.v.01,give sanction to,,,,,,,,,,,,,,,,
approve_of,judgment-33.1,Affiliation,Attack,2,Match,approve.v.02,judge to be right or commendable; think well of,approve.v.01,give sanction to,,,,,,,,,,,,,,,,
approve_of,judgment-33.1,Cognition,Judge,2,Match,approve.v.02,judge to be right or commendable; think well of,approve.v.01,give sanction to,,,,,,,,,,,,,,,,
approximate,estimate-34.2,Cognition,Feel,1,Match,estimate.v.01,judge tentatively or form an estimate of (quantities or time),,,,,,,,,,,,,,,,,,
arch,crane-40.3.2,Existence,Existence,1,Match,arch.v.01,form an arch or curve,,,,,,,,,,,,,,,,,,
archive,pocket-9.10,Incremental,Basic Incremental,1,Match,archive.v.01,put into an archive,,,,,,,,,,,,,,,,,,
argue,battle-36.4,Affiliation,Reciprocal,1,Match,argue.v.02,have an argument about something,,,,,,,,,,,,,,,,,,
argue,chit_chat-37.6,Communication,Joint Statement,1,Match,argue.v.02,have an argument about something,,,,,,,,,,,,,,,,,,
argue,correspond-36.1,Communication,Joint Statement,1,Match,argue.v.02,have an argument about something,,,,,,,,,,,,,,,,,,
arise,appear-48.1.1,Location,Location,2,Match,originate.v.01,come into existence; take on form or shape,arise.v.02,originate or come into being,,,,,,,,,,,,,,,,
arm,equip-13.4.2,Possession,Transfer of Possession,2,Match,arm.v.02,supply with arms,arm.v.01,prepare oneself for a military confrontation,,,,,,,,,,,,,,,,
armor,equip-13.4.2,Possession,Transfer of Possession,1,Match,armor.v.01,equip with armor,,,,,,,,,,,,,,,,,,
aromatize,butter-9.9,Incremental,Causative Incremental,1,Match,perfume.v.01,fill or impregnate with an odor,,,,,,,,,,,,,,,,,,
arouse,amuse-31.1,Affect,Affect,2,Match,stimulate.v.04,cause to be alert and energetic,arouse.v.07,stimulate sexually,,,,,,,,,,,,,,,,
arouse,engender-27.1,Causation,Cause and Effect,1,Match,raise.v.07,"summon into action or bring into existence, often as if by magic",,,,,,,,,,,,,,,,,,
arrange,build-26.1,Creation,Causative Creation,3,Match,arrange.v.06,adapt for performance in a different way,arrange.v.01,put into a proper or systematic order,dress.v.16,arrange attractively,,,,,,,,,,,,,,
arrange,put-9.1,Incremental,Causative Incremental,1,Match,arrange.v.01,put into a proper or systematic order,,,,,,,,,,,,,,,,,,
arrive,escape-51.1,Motion,Basic Motion,1,Match,arrive.v.01,reach a destination; arrive by movement or progress,,,,,,,,,,,,,,,,,,
arrogate,obtain-13.5.2,Possession,Dynamic Possession,1,Match,assume.v.06,seize and take control without authority and possibly with force; take as one's right or possession,,,,,,,,,,,,,,,,,,
articulate,say-37.7,Communication,Statement,2,Match,give_voice.v.01,put into words or an expression,articulate.v.05,express or state clearly,,,,,,,,,,,,,,,,
ascend,escape-51.1,Motion,Basic Motion,4,Match,ascend.v.05,go along towards (a river's) source,ascend.v.06,slope upwards,ascend.v.01,"travel up,",rise.v.16,"come up, of celestial bodies",,,,,,,,,,,,
ascertain,discover-84,Cognition,Know,1,Match,ascertain.v.04,learn or discover with certainty,,,,,,,,,,,,,,,,,,
ascertain,ensure-99,Affiliation,Defend,1,Match,see.v.10,be careful or certain to do something; make certain of something,,,,,,,,,,,,,,,,,,
ask,inquire-37.1.2,Communication,Communicate,3,Match,ask.v.03,direct or put; seek an answer to,ask.v.05,address a question to and expect an answer from,ask.v.01,inquire about,,,,,,,,,,,,,,
ask,urge-58.1,Communication,Request,1,Match,ask.v.02,make a request or demand for something to somebody,,,,,,,,,,,,,,,,,,
asphalt,butter-9.9,Incremental,Causative Incremental,1,Match,asphalt.v.01,cover with tar or asphalt,,,,,,,,,,,,,,,,,,
asphyxiate,poison-42.2,Transformation,Causative Change of State,1,Match,smother.v.02,deprive of oxygen and prevent from breathing,,,,,,,,,,,,,,,,,,
assail,attack-60.1,Affiliation,Attack,1,Match,assail.v.01,attack someone physically or emotionally,,,,,,,,,,,,,,,,,,
assassinate,murder-42.1,Transformation,Causative Change of State,1,Match,assassinate.v.01,murder; especially of socially prominent persons,,,,,,,,,,,,,,,,,,
assault,attack-60.1,Affiliation,Attack,1,Match,assail.v.01,attack someone physically or emotionally,,,,,,,,,,,,,,,,,,
assay,assessment-34.1,Cognition,Judge,1,Match,assay.v.01,analyze (chemical substances),,,,,,,,,,,,,,,,,,
assemble,build-26.1,Creation,Causative Creation,1,Match,assemble.v.01,create by putting components or members together,,,,,,,,,,,,,,,,,,
assemble,herd-47.5.2,Incremental,Basic Incremental,2,Match,meet.v.07,collect in one place,assemble.v.03,get people together,,,,,,,,,,,,,,,,
assert,conjecture-29.5,Cognition,Judge,1,Match,affirm.v.02,to declare or affirm solemnly and formally as true,,,,,,,,,,,,,,,,,,
assess,assessment-34.1,Cognition,Judge,1,Match,measure.v.04,"evaluate or estimate the nature, quality, ability, extent, or significance of",,,,,,,,,,,,,,,,,,
assess,estimate-34.2,Cognition,Feel,1,Match,measure.v.04,"evaluate or estimate the nature, quality, ability, extent, or significance of",,,,,,,,,,,,,,,,,,
assess,price-54.4,Quantification,Measurement,2,Match,tax.v.02,set or determine the amount of (a payment such as a fine),measure.v.04,"evaluate or estimate the nature, quality, ability, extent, or significance of",,,,,,,,,,,,,,,,
assign,future_having-13.3,Possession,Future Having,1,Match,assign.v.02,give out,,,,,,,,,,,,,,,,,,
assimilate,learn-14,Cognition,Learn,1,Match,absorb.v.02,take up mentally,,,,,,,,,,,,,,,,,,
assuage,amuse-31.1,Affect,Affect,1,Match,pacify.v.01,cause to be more favorably inclined; gain the good will of,,,,,,,,,,,,,,,,,,
assume,conjecture-29.5,Cognition,Judge,1,Match,assume.v.01,take to be the case or to be true; accept without verification or proof,,,,,,,,,,,,,,,,,,
assure,ensure-99,Affiliation,Defend,1,Match,guarantee.v.02,make certain of,,,,,,,,,,,,,,,,,,
assure,promise-37.13,Communication,Communicate,1,Match,promise.v.01,make a promise or commitment,,,,,,,,,,,,,,,,,,
astonish,amuse-31.1,Affect,Affect,1,Match,amaze.v.01,affect with wonder,,,,,,,,,,,,,,,,,,
astound,amuse-31.1,Affect,Affect,1,Match,amaze.v.01,affect with wonder,,,,,,,,,,,,,,,,,,
attend,attend-107.4,Affiliation,Membership,1,Match,attend.v.01,"be present at (meetings, church services, university), etc.",,,,,,,,,,,,,,,,,,
attenuate,other_cos-45.4,Transformation,Basic Change of State,2,Match,rarefy.v.03,weaken the consistency of (a chemical substance),attenuate.v.02,"become weaker, in strength, value, or magnitude",,,,,,,,,,,,,,,,
attire,dress-41.1.1,Incremental,Basic Incremental,1,Match,overdress.v.02,put on special clothes to appear particularly appealing and attractive,,,,,,,,,,,,,,,,,,
audit,assessment-34.1,Cognition,Judge,1,Match,audit.v.01,examine carefully for accuracy with the intent of verification,,,,,,,,,,,,,,,,,,
author,create-26.4,Creation,Causative Creation,1,Match,author.v.01,be the author of,,,,,,,,,,,,,,,,,,
authorize,order-58.3,Communication,Request,2,Match,authorize.v.01,grant authorization or clearance for,empower.v.01,give or delegate power or authority to,,,,,,,,,,,,,,,,
autograph,illustrate-25.3,Incremental,Basic Incremental,1,Match,autograph.v.01,mark with one's signature,,,,,,,,,,,,,,,,,,
avow,declare-29.4,Communication,Statement,1,Match,affirm.v.02,to declare or affirm solemnly and formally as true,,,,,,,,,,,,,,,,,,
awake,appear-48.1.1,Location,Location,1,Match,wake_up.v.02,stop sleeping,,,,,,,,,,,,,,,,,,
awake,other_cos-45.4,Transformation,Basic Change of State,1,Match,wake_up.v.02,stop sleeping,,,,,,,,,,,,,,,,,,
awaken,appear-48.1.1,Location,Location,1,Match,wake_up.v.02,stop sleeping,,,,,,,,,,,,,,,,,,
awaken,other_cos-45.4,Transformation,Basic Change of State,2,Match,wake_up.v.02,stop sleeping,awaken.v.01,cause to become awake or conscious,,,,,,,,,,,,,,,,
award,future_having-13.3,Possession,Future Having,2,Match,award.v.02,give as judged due or on the basis of merit,award.v.01,"give, especially as an honor or reward",,,,,,,,,,,,,,,,
awe,amuse-31.1,Affect,Affect,1,Match,awe.v.01,inspire awe in,,,,,,,,,,,,,,,,,,
baa,animal_sounds-38,Creation,Emission,1,Match,bleat.v.02,cry plaintively,,,,,,,,,,,,,,,,,,
babble,manner_speaking-37.3,Communication,Statement,2,Match,babble.v.01,"utter meaningless sounds, like a baby, or utter in an incoherent way",babble.v.02,to talk foolishly,,,,,,,,,,,,,,,,
babble,sound_emission-43.2,Creation,Emission,1,Match,ripple.v.02,flow in an irregular current with a bubbling noise,,,,,,,,,,,,,,,,,,
back,put_direction-9.4,Incremental,Causative Incremental,1,Match,back.v.04,cause to travel backward,,,,,,,,,,,,,,,,,,
back,put_direction-9.4,Incremental,Pick Up and Drop Off,1,Match,back.v.04,cause to travel backward,,,,,,,,,,,,,,,,,,
back,run-51.3.2,Motion,Basic Motion,1,Match,back.v.02,travel backward,,,,,,,,,,,,,,,,,,
backbite,judgment-33.1,Affiliation,Attack,1,Match,backbite.v.01,say mean things,,,,,,,,,,,,,,,,,,
backbite,judgment-33.1,Cognition,Judge,1,Match,backbite.v.01,say mean things,,,,,,,,,,,,,,,,,,
backpack,run-51.3.2,Motion,Basic Motion,1,Match,backpack.v.01,hike with a backpack,,,,,,,,,,,,,,,,,,
